time,temperature,humidity,vbat_mV
00:01:57,29.2,76,4069
00:07:04,29.2,76,4069
00:12:11,29.2,76,4069
00:17:17,29.2,76,4069
00:22:24,29.2,76,4069
00:27:31,29.2,78,4069
00:32:38,29.1,79,4069
00:37:45,29.1,79,4069
00:42:51,29.1,80,4069
00:47:58,29.0,80,4069
00:53:05,29.0,81,4069
00:58:12,29.0,81,4069
01:03:19,28.9,81,4069
01:08:26,28.9,81,4069
01:13:33,28.9,81,4069
01:18:40,28.9,81,4069
01:23:47,28.7,73,4069
01:28:53,28.3,66,4069
01:34:00,27.9,63,4069
01:39:07,27.7,62,4069
01:44:14,27.5,63,4069
01:49:21,27.4,64,4069
01:54:28,27.2,64,4069
01:59:35,27.1,65,4069
02:04:42,27.0,65,4069
02:09:49,26.9,65,4069
02:14:56,26.7,63,4069
02:20:03,26.6,64,4069
02:25:10,26.5,64,4069
02:30:16,26.5,64,4069
02:35:23,26.4,64,4069
02:40:30,26.3,64,4069
02:45:37,26.2,62,4069
02:50:44,26.1,63,4069
02:55:51,26.0,63,4069
03:00:58,26.0,63,4069
03:06:05,25.9,63,4069
03:11:12,25.9,63,4069
03:16:18,25.8,62,4069
03:21:25,25.7,62,4069
03:26:32,25.7,63,4069
03:31:39,25.6,63,4069
03:36:46,25.6,63,4069
03:41:52,25.5,63,4069
03:46:59,25.5,63,4069
03:52:06,25.4,61,4069
03:57:13,25.4,62,4069
04:02:20,25.4,63,4069
04:07:27,25.5,64,4069
04:12:34,25.5,64,4069
04:17:40,25.6,65,4069
04:22:47,25.7,66,4069
04:27:54,25.8,67,4069
04:33:01,25.9,68,4069
04:38:08,25.9,69,4069
04:43:15,26.0,69,4069
04:48:22,26.1,69,4069
04:53:29,26.2,70,4069
04:58:35,26.3,70,4069
05:03:42,26.3,70,4069
05:08:49,26.3,70,4069
05:13:56,26.4,71,4069
05:19:03,26.4,71,4069
05:24:10,26.5,71,4069
05:29:17,26.5,71,4069
05:34:23,26.5,72,4069
05:39:30,26.6,72,4069
05:44:37,26.6,72,4069
05:49:44,26.6,72,4069
05:54:51,26.7,73,4069
05:59:58,26.7,73,4069
06:05:05,26.7,73,4069
06:10:12,26.7,73,4069
06:15:18,26.8,74,4069
06:20:25,26.7,74,4069
06:25:32,26.8,74,4069
06:30:39,26.8,74,4069
06:35:46,26.8,74,4069
06:40:53,26.8,74,4069
06:46:00,26.9,75,4069
06:51:07,26.9,75,4069
06:56:14,26.9,75,4069
07:01:21,26.9,75,4069
07:06:28,26.9,75,4069
07:11:35,27.0,75,4069
07:16:41,27.0,75,4069
07:21:49,27.0,75,4069
07:26:55,27.0,75,4069
07:32:02,27.1,75,4069
07:37:09,27.1,75,4069
07:42:16,27.2,75,4069
07:47:23,27.2,75,4069
07:52:30,27.3,75,4069
07:57:37,27.3,75,4069
08:02:44,27.4,75,4069
08:07:51,27.5,75,4069
08:12:57,27.6,77,4069
08:18:04,27.7,77,4069
08:23:11,27.8,76,4069
08:28:18,28.0,76,4069
08:33:25,28.1,76,4069
08:38:32,28.2,76,4069
08:43:39,28.4,76,4069
08:48:46,28.5,76,4069
08:53:53,28.7,76,4069
08:59:00,28.8,75,4069
09:04:06,28.9,75,4069
09:09:13,29.1,75,4069
09:14:20,29.2,75,4069
09:19:27,29.3,75,4069
09:24:34,29.5,74,4069
09:29:41,29.6,75,4069
09:34:48,29.7,73,4069
09:39:55,29.4,64,4069
09:45:02,29.1,61,4069
09:50:09,29.0,59,4069
09:55:16,28.8,59,4069
10:00:22,28.6,58,4069
10:05:29,28.4,57,4069
10:10:36,28.2,57,4069
10:15:43,28.1,56,4069
10:20:50,27.9,56,4069
10:25:57,27.9,58,4069
10:31:04,27.8,57,4069
10:36:11,27.7,57,4069
10:41:18,27.6,56,4069
10:46:25,27.5,57,4069
10:51:32,27.5,57,4069
10:56:38,27.5,57,4069
11:01:45,27.4,58,4069
11:06:52,27.4,57,4069
11:11:59,27.3,57,4069
11:17:06,27.3,57,4069
11:22:13,27.3,58,4069
11:27:20,27.3,57,4069
11:32:27,27.3,56,4069
11:37:34,27.3,56,4069
11:42:41,27.3,56,4069
11:47:48,27.3,55,4069
11:52:55,27.3,55,4069
11:58:02,27.3,55,4069
12:03:09,27.3,55,4069
12:08:16,27.2,57,4069
12:13:23,27.3,60,4069
12:18:30,27.4,61,4069
12:23:36,27.5,62,4069
12:28:43,27.6,62,4069
12:33:50,27.7,63,4069
12:38:57,27.7,61,4069
12:44:04,27.7,62,4069
12:49:11,27.8,63,4069
12:54:18,27.9,63,4069
12:59:25,28.0,63,4069
13:04:32,28.0,63,4069
13:09:39,28.1,61,4069
13:14:46,28.0,62,4069
13:19:53,28.1,62,4069
13:25:00,28.1,62,4069
13:30:07,28.1,62,4069
13:35:14,28.2,64,4069
13:40:20,28.2,64,4069
13:45:27,28.2,63,4069
13:50:34,28.2,64,4069
13:55:41,28.3,64,4069
14:00:48,28.3,64,4069
14:05:55,28.3,64,4069
14:11:02,28.3,64,4069
14:16:09,28.3,62,4069
14:21:16,28.4,63,4069
14:26:23,28.4,63,4069
14:31:30,28.3,64,4069
14:36:37,28.4,63,4069
14:41:44,28.3,63,4069
14:46:50,28.3,60,4069
14:51:57,28.3,62,4069
14:57:04,28.3,63,4069
15:02:11,28.3,63,4069
15:07:18,28.3,63,4069
15:12:25,28.3,64,4069
15:17:32,28.2,63,4069
